Name,Gender,RollNumber,Email,Phone,Branch,CGPA,Company Placed In,CTC (LPA),Passing Year
Brendan Moore,Male,Px94MV07,tinarios@yahoo.com,2830842678,BT,6.48,Cisco,38.89,2023
Rachel Daniel,Female,WV47af53,harveyveronica@fitzpatrick.org,299.562.9062,AE,9.1,Paytm,37.77,2024
Maria Snyder,Male,CA27Km85,tara22@francis-garcia.com,+1-480-959-2882x8587,CE,5.1,Amazon,26.36,2023
Mr. Brandon Malone,Male,Kp76Pv03,ogreen@hotmail.com,796.988.3615x76412,EEE,8.68,Cisco,33.37,2025
John Blair,Female,hO28JR45,garrettjoel@hotmail.com,852.819.3797,ECE,8.13,Paytm,5.06,2024
Nicole Wilson,Other,Wn49rF88,jonathandaniel@gmail.com,(635)879-3314,CSE,6.18,Paytm,13.87,2023
Amanda Butler,Male,TG30Yp55,campbellmary@chavez.biz,349-754-3666x4123,CSE,8.94,Paytm,22.77,2023
Nicole Hays,Other,dI36jZ88,terryolson@carter.com,(596)117-6841x03304,ME,9.26,Google,34.66,2023
Darlene Kennedy,Female,tA08yu15,martinpeters@gmail.com,560-437-7296x058,CSE,7.68,Wipro,8.87,2024
Bethany Garcia,Other,bk23bn74,briannaanthony@anderson.biz,098-354-3986x480,AE,9.44,Cisco,44.29,2023
Ronald Hendrix,Male,Bg01Nu51,coopermark@pacheco.com,019-647-2708x3540,ECE,9.8,Microsoft,27.34,2024
Wesley Morris,Female,jX02du26,ymeza@yahoo.com,001-309-587-9413x52189,CE,9.14,Cisco,11.18,2023
Ellen Lutz,Other,sF12dm65,samantha09@gmail.com,527.610.2950x8315,ME,9.52,Zomato,44.8,2023
Gregory Burgess,Male,ye33uc16,jackshaffer@yahoo.com,789.067.3343x79286,ME,7.69,Google,33.03,2025
Bradley Watts,Female,Zl89ME75,amyeverett@smith.com,001-574-892-4937,AE,9.65,Google,23.77,2025
Rachel Serrano,Male,zl00se73,matthewgray@hotmail.com,+1-544-784-2096x35795,CE,6.88,Cisco,14.18,2023
